NR CRT,NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
582,"Primăria Slobozia","Strada Episcopiei 1 920023 Slobozia","Government or Community Facility","Slobozia (Romanian pronunciation:?[slobo?zi.a]) is the capital city of Ialomi?a County, Romania, with a population of 48,241 in 2011.","Ialomița",44.562947,27.359697,0
583,"Primăria Slobozia","087210 Slobozia","Government or Community Facility","Ia?i, Romania, is claimed to have been built on seven hills. Many other cities of the world have similar traditions, Rome and Constantinople, for instance, were said to have been built on seven hills.","Ialomița",43.85712,25.91065,0
584,"Primăria Slobozia Moară","Șoseaua Morii 137420 Slobozia Moară","Government or Community Facility","N/A","Ialomița",44.59962,25.72636,0
585,"The city of Slobozia.","Ialomița, Romania","Attraction","Slobozia (Romanian pronunciation: [sloboˈzi.a]) is the capital city of Ialomița County, Romania, with a population of 48,241 in 2011.","Ialomița",44.39487925,26.58947175,0
586,"City of Iași and its environs (the Seven hills of Iași);","Iași, Romania","Attraction","Iași, Romania, is claimed to have been built on seven hills. Many other cities of the world have similar traditions, Rome and Constantinople, for instance, were said to have been built on seven hills.","Iași",0,0,0
587,"Muzeul Memorial Alexandru Ioan Cuza din Ruginoasa-Official","DN28A Ruginoasa","Museum","undefinedClose to Targu Frumos there are the charming areas of Ruginoasa. The traveler receiving the hospitality from this place, forgets all of his sorrows ... He  finds himself transported, as if by charm, in a castle described by Walter Scott...undefined Constantin Negruzzi, 1837.","Iași",47.24275,26.84549,0
588,"Muzeul Memorial Alexandru Ioan Cuza din Ruginoasa-Official","DN28A 707420 Ruginoasa","Sights & Museums","Africa","Iași",47.242681,26.845386,0
589,"police near Alexandru Ioan Cuza, Moldova","N/A","undefined","N/A","Iași",45.59885,28.45063,0
590,"Alexandru Ioan Cuza Memorial Palace in Ruginoasa;","Iași, Romania","Attraction","undefinedClose to Targu Frumos there are the charming areas of Ruginoasa. The traveler receiving the hospitality from this place, forgets all of his sorrows ... He  finds himself transported, as if by charm, in a castle described by Walter Scott...undefined Constantin Negruzzi, 1837.","Iași",46.694760333333335,27.380502000000003,0
591,"Cucuteni - Neolithic archeological site;","Iași, Romania","Attraction","Africa","Iași",0,0,0
592,"Cotnari and Bohotin vineyards;","Iași, Romania","Attraction","N/A","Iași",0,0,0
593,"Museum of Vineyard and Wine in Hârlău;","Iași, Romania","Attraction","N/A","Iași",0,0,0
594,"Hadâmbu and Dobrovăț Monasteries;","Iași, Romania","Attraction","N/A","Iași",0,0,0
595,"Miclăușeni Castle and Monastery;","Iași, Romania","Attraction","N/A","Iași",0,0,0
596,"Vasile Alecsandri Memorial House in Mircești;","Iași, Romania","Attraction","N/A","Iași",0,0,0
597,"Bulevardul Constantin Negruzzi","Kishinev Moldova","Street or Square","N/A","Iași",47.01362,28.85103,0
598,"Strada Constantin Negruzzi","Balti Moldova","Street or Square","N/A","Iași",47.78363,27.9209,0
599,"Strada Constantin Negruzzi","910014 Calarasi","Street or Square","N/A","Iași",44.18345,27.35855,0
600,"Strada Constantin Negruzzi","207068 Bistreț","Street or Square","N/A","Iași",43.89499,23.55152,0
601,"Strada Constantin Negruzzi","Orhei Moldova","Street or Square","N/A","Iași",47.38635,28.82334,0
602,"Strada Constantin Negruzzi","Cahul Moldova","Street or Square","N/A","Iași",45.91179,28.19795,0
603,"Strada Constantin Negruzzi","Ungheni Moldova","Street or Square","N/A","Iași",47.23688,27.7776,0
604,"Strada Constantin Negruzzi","Colibași Moldova","Street or Square","N/A","Iași",45.70527,28.17491,0
605,"Strada Constantin Negruzzi","Crihana Veche Moldova","Street or Square","Constantin Negruzzi (Romanian pronunciation:?[konstan?tin ne??rut?si], first name often Costache pronounced?[kos?take]; 1808?24 August 1868) was a Romanian poet, novelist, translator, playwright and politician.","Iași",45.83885,28.20311,0
606,"Strada Constantin Negruzzi","Ialoveni Moldova","Street or Square","N/A","Iași",46.95647,28.7608,0
607,"Strada Constantin Negruzzi","Manta Moldova","Street or Square","N/A","Iași",45.8097,28.17772,0
608,"Pasajul Constantin Negruzzi","Balti Moldova","Street or Square","Constantin Negruzzi (Romanian pronunciation: [konstanˈtin neˈɡrut͡si], first name often Costache pronounced [kosˈtake]; 1808–24 August 1868) was a Romanian poet, novelist, translator, playwright and politician.","Iași",47.78891,27.93248,0
609,"Strada Constantin Negruzzi","Drochia Moldova","Street or Square","N/A","Iași",48.0435,27.79895,0
610,"Strada Constantin Negruzzi","Cupcini Moldova","Street or Square","N/A","Iași",48.11106,27.38354,0
611,"Strada Constantin Negruzzi","Dondușeni Moldova","Street or Square","Index orase:","Iași",48.23513,27.60282,0
612,"Stradela Constantin Negruzzi","Drochia Moldova","Street or Square","N/A","Iași",48.04368,27.79766,0
613,"Strada Constantin Negruzzi","Dondușeni Sat Moldova","Street or Square","N/A","Iași",48.23399,27.60102,0
614,"Stradela Constantin Negruzzi","Lipcani Moldova","Street or Square","Index orase:","Iași",48.26506,26.80796,0
615,"Strada Constantin Negruzzi","Hulboaca Moldova","Street or Square","N/A","Iași",47.11681,28.80105,0
616,"Constantin Negruzzi Museum in Hermeziu;","Iași, Romania","Attraction","N/A","Iași",46.92416526315789,27.764363684210526,0
617,"Muzeul Memorial Cezar Petrescu","Strada Tudor Vladimirescu 105500 Bușteni","Museum","N/A","Iași",45.42294,25.54768,0
618,"Scoala Cezar Petrescu","Strada Scolii 105500 Bușteni","Educational Facility","Index orase:","Iași",45.410106,25.529234,0
619,"Strada Cezar Petrescu","Pitesti","Street or Square","Index orase:","Iași",44.86936,24.85516,0
620,"Strada Cezar Petrescu","Cluj-Napoca","Street or Square","N/A","Iași",46.74664,23.56724,0
621,"Strada Cezar Petrescu","105500 Bușteni","Street or Square","Index orase:","Iași",45.4218,25.54553,0
622,"Aleea Cezar Petrescu","110090 Pitesti","Street or Square","Index orase:","Iași",44.87024,24.85327,0
623,"Libraria Cezar Petrescu","Roman Musat Bulevardul 611022 Roman","Library","N/A","Iași",46.92609,26.92897,0
624,"Strada Cezar Petrescu","Targu Jiu","Street or Square","N/A","Iași",45.0405,23.25431,0
625,"Strada Cezar Petrescu","810062 Braila","Street or Square","N/A","Iași",45.29625,27.97367,0
626,"Strada Cezar Petrescu","611129 Roman","Street or Square","N/A","Iași",46.931,26.93554,0
627,"Piata Cezar Petrescu","Strada Cezar Petrescu Brăila","Food & Drink","N/A","Iași",45.29574,27.9713,0
628,"Strada Cezar Petrescu","705100 Hârlău","Street or Square","N/A","Iași",47.41949,26.92912,0
629,"Strada Cezar Petrescu","307160 Dumbrăvița","Street or Square","N/A","Iași",45.80233,21.23772,0
630,"Cezar Petrescu Museum in Cotnari;","Iași, Romania","Attraction","N/A","Iași",45.804037384615384,25.471441846153848,0
631,"The House Of Burger","Târgu Jiu","Restaurant","N/A","Iași",45.03723,23.27877,0
632,"Out Of Room","Strada Victoriei 210166 Târgu Jiu","Landmark/Attraction","N/A","Iași",45.038183,23.270854,0
633,"Oficiul Pentru Studii Pedologice și Agrochimice","Strada Localitate Componentă Drăgoieni 210002 Târgu Jiu","Government or Community Facility","H?rl?u (also spelled H?rl?u, Romanian pronunciation:?[h?r?l?w]; Hebrew: ??????, German: Harlau, Hungarian: Harl?) is a town in Ia?i County, Moldavia, Romania. It was one of the princiary court cities of Moldavia, in the 15th century. One village, P?rcovaci, is administered by the town.","Iași",45.03992,23.31892,0
634,"Island Of Leather","Târgu Jiu","Clothing & Accessories","N/A","Iași",45.02545,23.26566,0
635,"B.Eat","Piața Trandafirilor 52 540053 Târgu Mureș (Târgu Mures)","Restaurant","N/A","Iași",46.54514,24.56252,0
636,"City of Pașcani, and towns of Târgu Frumos and Hârlău;","Iași, Romania","Attraction","Hârlău (also spelled Hîrlău, Romanian pronunciation: [hɨrˈləw]; Hebrew: חרלאו‎, German: Harlau, Hungarian: Harló) is a town in Iași County, Moldavia, Romania. It was one of the princiary court cities of Moldavia, in the 15th century. One village, Pârcovaci, is administered by the town.","Iași",45.3371846,23.5393448,0
637,"Strunga health resort.","Iași, Romania","Attraction","N/A","Iași",0,0,0
638,"Snagov Monastery","077165 Snagov","Sights & Museums","N/A","Ilfov",44.72937,26.17509,0
639,"The Snagov Monastery","Ilfov, Romania","Attraction","N/A","Ilfov",44.72937,26.17509,0
640,"Cernica Monastery","Șoseaua Cernica 077145 Pantelimon","Religious Place","Mogosoaia Palace (in Romanian: Palatul Mogo?oaia, pronounced?[pa?latul mo?o??o?aja]) is situated about 10 kilometres from Bucharest, Romania. It was built between 1698-1702 by Constantin Br?ncoveanu in what is called the Romanian Renaissance style or Br?ncovenesc style. The palace bears the name of the widow of the Romanian boyar Mogo?, who owned the land it was built on.","Ilfov",44.44677,26.21715,0
641,"The Cernica Monastery","Ilfov, Romania","Attraction","Mogoşoaia Palace (in Romanian: Palatul Mogo?oaia, pronounced?[pa?latul mo?o??o?aja]) is situated about 10 kilometres from Bucharest, Romania. It was built between 1698-1702 by Constantin Br?ncoveanu in what is called the Romanian Renaissance style or Br?ncovenesc style. The palace bears the name of the widow of the Romanian boyar Mogo?, who owned the land it was built on.","Ilfov",44.44677,26.21715,0
642,"police near Mogoșoaia, Romania","N/A","undefined","N/A","Ilfov",44.52473,26.00433,0
643,"Mogosoaia Palace","077135 Mogoșoaia","Sights & Museums","Mogoșoaia Palace (in Romanian: Palatul Mogoșoaia, pronounced [paˈlatul moɡoˈʃo̯aja]) is situated about 10 kilometres from Bucharest, Romania. It was built between 1698-1702 by Constantin Brâncoveanu in what is called the Romanian Renaissance style or Brâncovenesc style. The palace bears the name of the widow of the Romanian boyar Mogoș, who owned the land it was built on.","Ilfov",44.527776,25.993125,0
644,"The Mogoșoaia Palace","Ilfov, Romania","Attraction","Mogoșoaia Palace (in Romanian: Palatul Mogoșoaia, pronounced [paˈlatul moɡoˈʃo̯aja]) is situated about 10 kilometres from Bucharest, Romania. It was built between 1698-1702 by Constantin Brâncoveanu in what is called the Romanian Renaissance style or Brâncovenesc style. The palace bears the name of the widow of the Romanian boyar Mogoș, who owned the land it was built on.","Ilfov",44.526253,25.9987275,0
645,"The Căldărușani Monastery","Ilfov, Romania","Attraction","N/A","Ilfov",0,0,0
646,"The Ghica family palace in Moara Vlăsiei","Ilfov, Romania","Attraction","Moara Vlăsiei is a commune in the northern part of Ilfov County, Romania. Its name means undefinedMill of Wallachia[n forest]undefined, and was called Căciulaţi until 1968, when its administrative center was moved from the village of Căciulaţi to Moara Vlăsiei (a village previously named Moara Săracă— the Poor Mill). It is composed of two villages, Căciulați and Moara Vlăsiei.","Ilfov",0,0,0
647,"Strada Știrbei Vodă","070000 Buftea","Street or Square","N/A","Ilfov",44.56203,25.94068,0
648,"Poliția Buftea","Strada Știrbei Vodă 070000 Buftea","Police Station","N/A","Ilfov",44.5595,25.94639,0
649,"Judecătoria Buftea","Strada Știrbei Vodă 070000 Buftea","Government or Community Facility","N/A","Ilfov",44.56105,25.94244,0
650,"Tribunalul Buftea","Strada Știrbei Vodă 070000 Buftea","Government or Community Facility","N/A","Ilfov",44.56105,25.94244,0
651,"The Știrbei Palace in Buftea","Ilfov, Romania","Attraction","N/A","Ilfov",44.5609075,25.9429875,0
652,"The cities of Baia Mare and Sighetu Marmației.","Maramureș, Romania","Attraction","N/A","Maramureș",0,0,0
653,"The villages on the Iza, Mara, and Vișeu Valleys.","Maramureș, Romania","Attraction","The Wooden churches of Maramure? in the Maramure? region of northern Transylvania are a group of almost one hundred Orthodox churches, and occasionally Greek-Catholic ones, of different architectural solutions from different periods and areas. The Maramure? churches are high timber constructions with characteristic tall, slim bell towers at the western end of the building. They are a particular vernacular expression of the cultural landscape of this mountainous area of northern Romania.","Maramureș",0,0,0
654,"Wooden Churches of Maramures","DN18 437136 Desești","Landmark/Attraction","N/A","Maramureș",47.78449,23.88833,0
655,"Wooden Churches of Maramures","Strada Mihail Kogălniceanu 435700 Vișeul de Sus","Religious Place","N/A","Maramureș",47.70311,24.43948,0
656,"The Wooden churches of Maramureș","Maramureș, Romania","Attraction","The Wooden churches of Maramureș in the Maramureș region of northern Transylvania are a group of almost one hundred Orthodox churches, and occasionally Greek-Catholic ones, of different architectural solutions from different periods and areas. The Maramureș churches are high timber constructions with characteristic tall, slim bell towers at the western end of the building. They are a particular vernacular expression of the cultural landscape of this mountainous area of northern Romania.","Maramureș",47.7438,24.163905,0
657,"The Wooden churches of Lăpuș","Maramureș, Romania","Attraction","N/A","Maramureș",0,0,0
658,"Wooden Churches of Maramures","DN18 437136 Desești","Landmark/Attraction","Săpânţa is a village in the Maramureş region.","Maramureș",47.78449,23.88833,0
659,"Wooden Churches of Maramures","Strada Mihail Kogălniceanu 435700 Vișeul de Sus","Religious Place","The Merry Cemetery (Romanian: Cimitirul Vesel pronounced?[t??imi?tirul ?vesel]) is a cemetery in the village of S?p?n?a, Maramure? county, Romania. It is famous for its colourful tombstones with na?ve paintings describing, in an original and poetic manner, the people who are buried there as well as scenes from their lives. The Merry Cemetery became an open-air museum and a national tourist attraction.","Maramureș",47.70311,24.43948,0
660,"The Wooden churches of Chioar","Maramureș, Romania","Attraction","Rodna Mountains (Romanian: Mun?ii Rodnei are a subdivision of the Eastern Carpathians in Northern Romania. The name comes from the nearby Rodna Veche village.","Maramureș",47.7438,24.163905,0
661,"Ferry near Săpânța, Romania","N/A","undefined","Săpânța is a village in the Maramureș region.","Maramureș",47.97452,23.7028,0
662,"The Merry Cemetery of Săpânța","Maramureș, Romania","Attraction","The Merry Cemetery (Romanian: Cimitirul Vesel pronounced [t͡ʃimiˈtirul ˈvesel]) is a cemetery in the village of Săpânța, Maramureş county, Romania. It is famous for its colourful tombstones with naïve paintings describing, in an original and poetic manner, the people who are buried there as well as scenes from their lives. The Merry Cemetery became an open-air museum and a national tourist attraction.","Maramureș",47.97452,23.7028,0
663,"The Rodna Mountains.","Maramureș, Romania","Attraction","Rodna Mountains (Romanian: Munţii Rodnei are a subdivision of the Eastern Carpathians in Northern Romania. The name comes from the nearby Rodna Veche village.","Maramureș",0,0,0
664,"The landscape of Cavnic.","Maramureș, Romania","Attraction","Cavnic (Hungarian: Kapnikbánya; German: Kapnik) is a former mining town situated in the valley of the same name, 26 km (16 mi) east of Baia Mare, in Maramureş County, northern Romania. The town covers 47.17 km2 (18 sq mi), at altitudes ranging from 500 to 1050 meters above sea level.","Maramureș",0,0,0
665,"The city of Drobeta-Turnu Severin - the ruins of Trajan's first bridge over the Danube","Mehedinți, Romania","Attraction","Trajan's Bridge (Romanian: Podul lui Traian; Serbian: Трајанов мост / Trajanov most) or Bridge of Apollodorus over the Danube, was a Roman segmental arch bridge, the first bridge to be built over the lower Danube and one of the greatest achievements in Roman architecture. Though it was only functional for a few decades, for more than 1,000 years it was the longest arch bridge in both total and span length.[1]","Mehedinți",0,0,0
666,"Primăria Orșova","Bulevardul 1 Decembrie 1918 225200 Orșova","Government or Community Facility","N/A","Mehedinți",44.72295,22.39867,0
667,"Mânăstirea Sf. Ana","Strada Pamfil Șeicaru 225200 Orșova","Religious Place","N/A","Mehedinți",44.71175,22.39731,0
668,"Medieval City of Sibiu","Piața Mare 12 550163 Sibiu","Sights & Museums","N/A","Mehedinți",45.79653,24.15249,0
669,"Gara Orșova","DN6 225200 Orșova","Railway Station","Orşova (Romanian pronunciation:?[?or?ova]; German: Orschowa, Hungarian: Orsova, Serbian: ??????/Or?ava, Bulgarian: ??????, Polish: Orszawa, Czech: Or?ava, Turkish: Adakale) is a port city on the Danube river in southwestern Romania's Mehedin?i County. It is one of four localities in the county located in the Banat historical region. It is situated just above the Iron Gates, on the spot where the Cerna River meets the Danube.[1][2]","Mehedinți",44.7306,22.41599,0
670,"Parchetul Orșova","Strada Porțile de Fier 225200 Orșova","Government or Community Facility","The Mehedin?i Mountains (Romanian: Mun?ii Mehedin?i) are a mountain range in southwestern Romania, part of the Retezat-Godeanu Mountains group.","Mehedinți",44.71992,22.39719,0
671,"Poliția Orșova","Strada Porțile de Fier 225200 Orșova","Police Station","Daneş (?n dialectul s?sesc Dunesdref, ?n german? Dunesdorf, Dansdorf, ?n maghiar? D?nos) este satul de re?edin?? al comunei cu acela?i nume din jude?ul Mure?, Transilvania, Rom?nia. Satul a fost atestat documentar ?n anul 1343 cu numele de Danus. Numele a suferit schimb?ri ?n timp, ap?r?nd ?n diferite documente dup? cum urmeaz?: 1348 Danus; Vila St. Dyonisii [Denis] 1393 Dansdorf, Dansdorff 1500 Danis 1503 Donnesdorf, Donnesdorff 1504 Donnydorff 1507 Donydorff; Donysdorff; Dunesdref 1532 Dunesdorf 1671 Danos ?n octombrie 1661 satul este pustiit, iar t?tarii r?pesc ??ranii de pe c?mp, astfel c? ?n 1663 se mai recenzau numai 3 gospod?rii. Pentru a repopula localitatea pustiit? de r?zboaie ?i cium?, sa?ii au hot?r?t pe la 1668 s? admit? ?i stabilirea rom?nilor ?n sat, ?n 1668 instal?ndu-se un preot rom?n. La recens?m?ntul din 1671 se consemneaz? 7 gospodari (=cives) sa?i ?i 28 de gospodari rom?ni, un sas chiria?, cinci rom?ni chiria?i (care nu posedau gospod?rie proprie) ?i trei v?duve.","Mehedinți",44.72687,22.39743,0
672,"The city of Orșova.","Mehedinți, Romania","Attraction","Orșova (Romanian pronunciation: [ˈorʃova]; German: Orschowa, Hungarian: Orsova, Serbian: Оршава/Oršava, Bulgarian: Орсово, Polish: Orszawa, Czech: Oršava, Turkish: Adakale) is a port city on the Danube river in southwestern Romania's Mehedinți County. It is one of four localities in the county located in the Banat historical region. It is situated just above the Iron Gates, on the spot where the Cerna River meets the Danube.[1][2]","Mehedinți",44.90143666666666,22.69318,0
673,"The Mehedinți Mountains.","Mehedinți, Romania","Attraction","The Mehedinți Mountains (Romanian: Munții Mehedinți) are a mountain range in southwestern Romania, part of the Retezat-Godeanu Mountains group.","Mehedinți",0,0,0
674,"Daneș","Mureș","City, Town or Village","N/A","Mehedinți",46.22164,24.70247,0
675,"Hotel Danubius Sovata","Strada Trandafirilor Sovata","Hotel","Danubius Exim este reprezentant oficial si detinator al tuturor avizelor de distributie si service pentru case de marcat si imprimante fiscale marca Datecs incepand din anul 1996. Aceste case de marcat produse de compania bulgara Datecs folosind componente japoneze marca Citizen, s-au remarcat pe piata romaneasca datorita fiabilitatii, eficientei si calitatii ridicate, fiind astazi cea mai populara marca de case de marcat in randul comerciantilor romani.?","Mehedinți",46.602259,25.086269,0
676,"Danubius","900001 Constanța","Hotel","Danubius Exim este reprezentant oficial si detinator al tuturor avizelor de distributie si service pentru case de marcat si imprimante fiscale marca Datecs incepand din anul 1996. Aceste case de marcat produse de compania bulgara Datecs folosind componente japoneze marca Citizen, s-au remarcat pe piata romaneasca datorita fiabilitatii, eficientei si calitatii ridicate, fiind astazi cea mai populara marca de case de marcat in randul comerciantilor romani. ","Mehedinți",44.25367,28.61934,0
677,"Danubius Health Spa Resort Sovata","Strada Vulturului 68 545500 Sovata","Hotel","N/A","Mehedinți",46.60217,25.08824,0
678,"Danubius","Calea 13 Septembrie 050734 București","Shop","Danubius Exim este reprezentant oficial si detinator al tuturor avizelor de distributie si service pentru case de marcat si imprimante fiscale marca Datecs incepand din anul 1996. Aceste case de marcat produse de compania bulgara Datecs folosind componente japoneze marca Citizen, s-au remarcat pe piata romaneasca datorita fiabilitatii, eficientei si calitatii ridicate, fiind astazi cea mai populara marca de case de marcat in randul comerciantilor romani. ","Mehedinți",44.41971,26.06267,0
679,"Danubius","Strada Gheorghe Doja Târgu Mureș","Car Dealer/Repair","Danubius Exim este reprezentant oficial si detinator al tuturor avizelor de distributie si service pentru case de marcat si imprimante fiscale marca Datecs incepand din anul 1996. Aceste case de marcat produse de compania bulgara Datecs folosind componente japoneze marca Citizen, s-au remarcat pe piata romaneasca datorita fiabilitatii, eficientei si calitatii ridicate, fiind astazi cea mai populara marca de case de marcat in randul comerciantilor romani. ","Mehedinți",46.536,24.55559,0
680,"Fundatia Danubius Tulcea","Strada Panseluțelor 540005 Târgu Mureș","Educational Facility","N/A","Mehedinți",46.53688,24.56452,0
681,"Danubius","Șoseaua Slobozia 087210 Slobozia","Petrol Station","Danubius Exim este reprezentant oficial si detinator al tuturor avizelor de distributie si service pentru case de marcat si imprimante fiscale marca Datecs incepand din anul 1996. Aceste case de marcat produse de compania bulgara Datecs folosind componente japoneze marca Citizen, s-au remarcat pe piata romaneasca datorita fiabilitatii, eficientei si calitatii ridicate, fiind astazi cea mai populara marca de case de marcat in randul comerciantilor romani. ","Mehedinți",43.87106,25.92698,0
682,"Danubius","Bulevardul Mihai Viteazu 1 145400 Zimnicea","Hotel","Danubius Exim este reprezentant oficial si detinator al tuturor avizelor de distributie si service pentru case de marcat si imprimante fiscale marca Datecs incepand din anul 1996. Aceste case de marcat produse de compania bulgara Datecs folosind componente japoneze marca Citizen, s-au remarcat pe piata romaneasca datorita fiabilitatii, eficientei si calitatii ridicate, fiind astazi cea mai populara marca de case de marcat in randul comerciantilor romani. ","Mehedinți",43.65497,25.36656,0
683,"Danubius Health Spa Resort Bradet","Strada Vulturului 68 545500 Sovata","Hotel","N/A","Mehedinți",46.60294,25.0901,0
684,"The Danube's Iron Gates.","Mehedinți, Romania","Attraction","The Iron Gates (Romanian: Porțile de Fier, Serbian: Ђердапска клисура / Đerdapska klisura or Гвоздена врата / Gvozdena vrata, Bulgarian: Железни врата, German: Eisernes Tor, Hungarian: Vaskapu) is a gorge on the river Danube. It forms part of the boundary between Serbia (to the south) and Romania (north). In the broad sense it encompasses a route of 134 km (83 mi); in the narrow sense it only encompasses the last barrier on this route, just beyond the Romanian city of Orșova, that contains two hydroelectric dams, with two power stations, Iron Gate I Hydroelectric Power Station and Iron Gate II Hydroelectric Power Station.","Mehedinți",45.5301299,25.506273900000004,0
685,"Baia de Aramă","Mehedinti","City, Town or Village","Baia de Aramă is a small Romanian town located in Mehedinți County, in the historical region of Oltenia, with a population of 5,349. The Brebina River runs through the town. Some Dacian ruins can be found in the town, as well as the 17th century Baia de Aramă Monastery .","Mehedinți",44.9999,22.81111,0
686,"Strada Baia de Aramă","022204 Bucharest","Street or Square","N/A","Mehedinți",44.43806,26.16325,0
687,"Primăria Baia de Aramă","Strada Republicii 225100 Baia de Aramă","Government or Community Facility","S?mb?ta de Sus Monastery (Romanian: M?n?stirea S?mb?ta de Sus) is a Romanian Orthodox monastery in S?mb?ta de Sus, Bra?ov County, in the Transylvania region of Romania. Dedicated to the Dormition of the Mother of God, it is also known as the Br?ncoveanu Monastery (M?n?stirea Br?ncoveanu).","Mehedinți",44.99645,22.80741,0
688,"Baia de Arama-E","Bulevardul Basarabia 75 022109 București","Public Transport","Baia de Aramă is a small Romanian town located in Mehedinți County, in the historical region of Oltenia, with a population of 5,349. The Brebina River runs through the town. Some Dacian ruins can be found in the town, as well as the 17th century Baia de Aramă Monastery .","Mehedinți",44.43618,26.1642,0
689,"Prislop Monastery","DJ687K 335500 Hațeg","Religious Place","Baia de Fier is a commune in Gorj County, Romania. It is composed of two villages, Baia de Fier and Cern?dia.","Mehedinți",45.632703,22.853109,0
690,"Brancoveanu Monastery","507267 Sâmbăta de Sus (Sâmbata de Sus)","Religious Place","Sâmbăta de Sus Monastery (Romanian: Mănăstirea Sâmbăta de Sus) is a Romanian Orthodox monastery in Sâmbăta de Sus, Brașov County, in the Transylvania region of Romania. Dedicated to the Dormition of the Mother of God, it is also known as the Brâncoveanu Monastery (Mănăstirea Brâncoveanu).","Mehedinți",45.69039,24.79516,0
691,"Curtea de Arges Monastery","115300 Curtea de Argeș","Religious Place","The Cathedral of Curtea de Argeș (early 16th century) is a Romanian Orthodox cathedral in Curtea de Argeș, Romania. It is located on the grounds of the Curtea de Argeș Monastery, and is dedicated to Dormition of the Mother of God. The building is the seat of the Archdiocese of Argeș and Muscel.","Mehedinți",45.15678,24.67547,0
692,"Baia de Fier","Gorj","City, Town or Village","Baia de Fier is a commune in Gorj County, Romania. It is composed of two villages, Baia de Fier and Cernădia.","Mehedinți",45.17151,23.7626,0
693,"Spitalul Orășenesc Baia de Aramă","Strada Iulian Predescu 225100 Baia de Aramă","Hospital","The Cârţa Monastery /?k?r?a/ is a former Cistercian (Benedictine) monastery in the ?ara F?g?ra?ului region in southern Transylvania in Romania, currently an Evangelical Lutheran church belonging to the local Saxon community. It lies on the left bank of the Olt River, between the cities of Sibiu and F?g?ra?, close to the villages of C?r?a (German Kerz, Hungarian: Kerc) and C?r?i?oara (German: Kleinkerz). The monastery was probably founded in 1202?1206 by monks from Igri? Abbey (daughter house of Pontigny Abbey), and was disbanded in 1494, when the apostolic legate Ursus of Ursinis ratified C?r?a Abbey's attachment to the Provostship nullius of Sibiu. The Cistercian monastery introduced and helped develop French Gothic art in the region.","Mehedinți",44.99797,22.80968,0
694,"Apele Române Formația Baia de Aramă","Strada Constantin Brâncoveanu 225100 Baia de Aramă","Government or Community Facility","Baia de Aram? monastery (Romanian: M?n?stirea Baia de Aram?) is a monastery in Baia de Aram?, Romania, located in the north-west area of Oltenia, in the Mehedin?i Plateau, sheltered by a small depression, surrounded by the Dochiciu, Dealu-Mare and Cornet hills, it communicates through national roads with T?rgu Jiu, Motru, Strehaia and Turnu Severin, but also with the B?ile Herculane and Bala resorts.","Mehedinți",44.99679,22.81318,0
695,"Baia de Arieș (Baia de Aries)","Alba","City, Town or Village","Baia de Arieș (Hungarian: Aranyosbánya or Offenbánya; German: Offenburg) is a town in Alba County, Romania. It administers five villages: Brăzești (Berzesd), Cioara de Sus (Felsőcsóra), Muncelu (Muncsal), Sartăș (Szártos) and Simulești. With a population of 5,065, it was until 2004 a mining centre extracting, mainly for base metals but also arsenopyrite and pyrite-rich concentrate containing gold.","Mehedinți",46.38204,23.28138,0
696,"Carta Monastery","DJ105D 557070 Cârța","Sights & Museums","The Cârța Monastery /ˈkɨrʦa/ is a former Cistercian (Benedictine) monastery in the Țara Făgărașului region in southern Transylvania in Romania, currently an Evangelical Lutheran church belonging to the local Saxon community. It lies on the left bank of the Olt River, between the cities of Sibiu and Făgăraș, close to the villages of Cârța (German Kerz, Hungarian: Kerc) and Cârțișoara (German: Kleinkerz). The monastery was probably founded in 1202–1206 by monks from Igriș Abbey (daughter house of Pontigny Abbey), and was disbanded in 1494, when the apostolic legate Ursus of Ursinis ratified Cârța Abbey's attachment to the Provostship nullius of Sibiu. The Cistercian monastery introduced and helped develop French Gothic art in the region.","Mehedinți",45.785277,24.568428,0
697,"Baia de Aramă Monastery","Mehedinți, Romania","Attraction","Baia de Aramă monastery (Romanian: Mănăstirea Baia de Aramă) is a monastery in Baia de Aramă, Romania, located in the north-west area of Oltenia, in the Mehedinți Plateau, sheltered by a small depression, surrounded by the Dochiciu, Dealu-Mare and Cornet hills, it communicates through national roads with Târgu Jiu, Motru, Strehaia and Turnu Severin, but also with the Băile Herculane and Bala resorts.","Mehedinți",45.22367083333333,23.958748083333333,0
698,"Old City Cafe Lounge & Pub","Piața Trandafirilor 540053 Târgu Mureș","Coffee/Tea","N/A","Mureș",46.54392,24.56057,0
699,"Aeroportul Transilvania Târgu Mureș","547605 Vidrasău","Airport","N/A","Mureș",46.4672,24.4243,0
700,"Târgu Mureș Nord","Strada 30 Decembrie 540121 Târgu Mureș","Railway Station","N/A","Mureș",46.55414,24.56486,0
701,"Gara Târgu Mureș","Piața Gării Târgu Mureș","Railway Station","N/A","Mureș",46.53324,24.54948,0
702,"Cinema City","243 Târgu Mureș","Cinema","N/A","Mureș",46.50969,24.51079,0
703,"Continental","Piața Teatrului Târgu Mureș","Bar/Pub","N/A","Mureș",46.54706,24.56132,0
704,"Mures Mall","Bulevardul Gheorghe Doja Târgu Mureș","Shopping Centre","N/A","Mureș",46.53978,24.55801,0
